Wall time,Step,Value
1569095026.0015342,2389,95.3125
1569095026.011506,2390,93.75
1569095026.0394316,2392,95.3125
1569095026.2877665,2402,96.875
1569095026.3944814,2406,95.3125
1569095026.9001293,2425,90.625
1569095027.196337,2436,95.3125
1569095027.3868277,2444,100.0
1569095027.5344338,2450,92.1875
1569095027.5613608,2451,95.3125
1569095027.6182096,2453,96.875
1569095027.6740606,2455,98.4375
1569095027.8136868,2460,89.0625
1569095028.4459953,2485,95.3125
1569095028.4709294,2486,100.0
1569095033.2580929,2496,93.75
1569095033.3049676,2498,98.4375
1569095033.434621,2503,95.3125
1569095033.800642,2517,96.875
1569095033.9642053,2523,95.3125
1569095036.3703208,2532,92.1875
1569095041.372698,2547,98.4375
1569095041.4834023,2551,98.4375
1569095041.5322714,2553,95.3125
1569095041.83247,2566,96.875
1569095042.1516154,2578,98.4375
1569095042.4109225,2590,100.0
1569095042.4328637,2591,96.875
1569095042.6702282,2600,98.4375
1569095042.831797,2606,96.875
1569095043.2247458,2623,98.4375
1569095043.3464208,2629,92.1875
1569095043.368362,2630,95.3125
1569095048.3042114,2638,92.1875
1569095048.4558048,2644,96.875
1569095048.6143813,2650,100.0
1569095048.7470274,2655,95.3125
1569095049.266637,2678,95.3125
1569095049.4301999,2685,92.1875
1569095049.5369148,2690,93.75
1569095049.86404,2703,98.4375
1569095050.0455546,2710,95.3125
1569095050.4105787,2725,100.0
1569095055.2967277,2737,98.4375
1569095055.3814986,2740,100.0
1569095055.7604852,2754,96.875
1569095055.785419,2755,98.4375
1569095055.8352854,2757,98.4375
1569095056.7159314,2789,98.4375
1569095056.7388704,2790,96.875
1569095056.7618089,2791,92.1875
1569095056.923376,2798,95.3125
1569095057.2175899,2809,96.875
1569095057.593583,2824,100.0
1569095057.7302182,2829,98.4375
1569095063.0663102,2859,100.0
1569095063.3734887,2872,96.875
1569095063.6168373,2881,96.875
1569095063.8731527,2890,98.4375
1569095064.0377138,2896,98.4375
1569095064.1264753,2900,100.0
1569095064.5633068,2917,100.0
1569095064.6121764,2919,95.3125
1569095064.6311255,2920,96.875
1569095064.9263358,2932,96.875
1569095069.9335191,2950,98.4375
1569095070.364367,2967,98.4375
1569095070.5807896,2975,95.3125
1569095071.1712084,2998,96.875
1569095071.3946123,3007,98.4375
1569095071.450463,3009,96.875
1569095071.4993322,3011,96.875
1569095071.5940793,3015,95.3125
1569095071.6239989,3016,96.875
1569095071.9331722,3027,95.3125
1569095072.0159512,3030,100.0
1569095076.7756798,3038,95.3125
1569095076.864443,3041,93.75
1569095077.0998135,3050,95.3125
1569095077.4937592,3065,96.875
1569095077.6014714,3069,98.4375
1569095077.646352,3071,98.4375
1569095078.0004048,3086,93.75
1569095078.3245382,3099,98.4375
1569095078.9827783,3122,100.0
1569095084.0310614,3137,98.4375
1569095084.0569925,3138,98.4375
1569095084.2395046,3145,98.4375
1569095084.3591838,3150,98.4375
1569095084.4918294,3155,98.4375
1569095084.5825894,3159,96.875
1569095084.6364417,3161,92.1875
1569095085.0293922,3177,95.3125
1569095085.5041227,3195,100.0
1569095085.5350394,3196,98.4375
1569095085.7345057,3203,100.0
1569095085.812298,3206,96.875
1569095086.3558455,3230,100.0
1569095091.1010919,3233,96.875
1569095091.2277515,3240,98.4375
1569095091.2985618,3243,98.4375
1569095091.3195064,3244,96.875
1569095091.3773515,3246,100.0
1569095091.4042783,3247,100.0
1569095091.954806,3267,96.875
1569095092.0665088,3272,98.4375
1569095092.3148441,3281,96.875
1569095092.8913028,3305,96.875
1569095093.1097186,3313,95.3125
1569095093.3929605,3327,100.0
1569095093.4129083,3328,90.625
1569095098.1910903,3333,93.75
1569095098.4713395,3345,98.4375
1569095099.224325,3374,93.75
1569095101.7513561,3376,100.0
1569095106.2820332,3378,96.875
1569095106.4934669,3386,95.3125
1569095106.9761765,3403,98.4375
1569095107.1088214,3408,93.75
1569095107.693259,3430,96.875
1569095107.7750401,3433,100.0
1569095107.9086828,3438,98.4375
1569095108.110144,3445,96.875
1569095108.203893,3449,98.4375
1569095108.248773,3451,98.4375
1569095108.3983731,3457,95.3125
1569095108.4243035,3458,100.0
1569095108.5868695,3464,98.4375
1569095108.7733703,3471,98.4375
1569095113.6003418,3477,100.0
1569095113.641231,3480,98.4375
